sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,vtpm V1,correct,accuracy,alpha,0.340885834348874
sub001,open,visual power,vtpm V1,incorrect,accuracy,alpha,0.225951480799959
sub001,open,visual power,vtpm V1,correct_e,accuracy_e,alpha,0.876420959257903
sub001,open,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,0.225951480799959
sub001,open,visual power,vtpm V1,fast,rt,alpha,0.217286348430868
sub001,open,visual power,vtpm V1,slow,rt,alpha,0.440508342107118
sub001,open,visual power,vtpm V2,correct,accuracy,alpha,0.157162270547044
sub001,open,visual power,vtpm V2,incorrect,accuracy,alpha,0.573073457351997
sub001,open,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.307749834232965
sub001,open,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,0.573073457351997
sub001,open,visual power,vtpm V2,fast,rt,alpha,0.139986473715576
sub001,open,visual power,vtpm V2,slow,rt,alpha,0.177810776320024
sub001,open,visual power,vtpm V3,correct,accuracy,alpha,0.255556520683948
sub001,open,visual power,vtpm V3,incorrect,accuracy,alpha,0.210968709897035
sub001,open,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.563444573205235
sub001,open,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,0.210968709897035
sub001,open,visual power,vtpm V3,fast,rt,alpha,0.141470185817756
sub001,open,visual power,vtpm V3,slow,rt,alpha,0.32770015516802
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.122841310201826
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.209903104496189
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.147355151434286
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.132251163285509
sub001,open,absolute,vtpm V1,correct,accuracy,alpha,7.46637544242203e-06
sub001,open,absolute,vtpm V1,incorrect,accuracy,alpha,6.58336522387943e-06
sub001,open,absolute,vtpm V1,correct_e,accuracy_e,alpha,6.77104259588101e-06
sub001,open,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,6.58336522387943e-06
sub001,open,absolute,vtpm V1,fast,rt,alpha,6.89623418707542e-06
sub001,open,absolute,vtpm V1,slow,rt,alpha,7.71450902971801e-06
sub001,open,absolute,vtpm V2,correct,accuracy,alpha,8.12074373471187e-06
sub001,open,absolute,vtpm V2,incorrect,accuracy,alpha,7.12582118459353e-06
sub001,open,absolute,vtpm V2,correct_e,accuracy_e,alpha,5.61488621872429e-06
sub001,open,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,7.12582118459353e-06
sub001,open,absolute,vtpm V2,fast,rt,alpha,8.12674605864819e-06
sub001,open,absolute,vtpm V2,slow,rt,alpha,8.17617024405601e-06
sub001,open,absolute,vtpm V3,correct,accuracy,alpha,2.58904346342061e-05
sub001,open,absolute,vtpm V3,incorrect,accuracy,alpha,2.52084107176842e-05
sub001,open,absolute,vtpm V3,correct_e,accuracy_e,alpha,2.08375624892375e-05
sub001,open,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,2.52084107176842e-05
sub001,open,absolute,vtpm V3,fast,rt,alpha,2.46701970047736e-05
sub001,open,absolute,vtpm V3,slow,rt,alpha,2.5139458926303e-05
sub001,closed,visual power,vtpm V1,correct,accuracy,alpha,-0.0780777737775159
sub001,closed,visual power,vtpm V1,incorrect,accuracy,alpha,0.0457014045629063
sub001,closed,visual power,vtpm V1,correct_e,accuracy_e,alpha,-0.0566653128410633
sub001,closed,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,0.0457014045629063
sub001,closed,visual power,vtpm V1,fast,rt,alpha,-0.010234945160325
sub001,closed,visual power,vtpm V1,slow,rt,alpha,-0.266273521819178
sub001,closed,visual power,vtpm V2,correct,accuracy,alpha,0.0286968208882619
sub001,closed,visual power,vtpm V2,incorrect,accuracy,alpha,0.265705416961459
sub001,closed,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.23872755941548
sub001,closed,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,0.265705416961459
sub001,closed,visual power,vtpm V2,fast,rt,alpha,-0.0291190668558847
sub001,closed,visual power,vtpm V2,slow,rt,alpha,-0.0398680399075147
sub001,closed,visual power,vtpm V3,correct,accuracy,alpha,-0.059209671210735
sub001,closed,visual power,vtpm V3,incorrect,accuracy,alpha,0.122413173298234
sub001,closed,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.0820804652354134
sub001,closed,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,0.122413173298234
sub001,closed,visual power,vtpm V3,fast,rt,alpha,0.00522858062302335
sub001,closed,visual power,vtpm V3,slow,rt,alpha,-0.174844159844192
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,0.139600748403646
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,-0.022056391903013
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.215188600225709
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.022056391903013
sub001,closed,somato lateralisation index,max,fast,rt,alpha,0.102629333973343
sub001,closed,somato lateralisation index,max,slow,rt,alpha,0.131135042756105
sub001,closed,absolute,vtpm V1,correct,accuracy,alpha,1.42459285190029e-05
sub001,closed,absolute,vtpm V1,incorrect,accuracy,alpha,1.64286375777701e-05
sub001,closed,absolute,vtpm V1,correct_e,accuracy_e,alpha,1.38622679563472e-05
sub001,closed,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,1.64286375777701e-05
sub001,closed,absolute,vtpm V1,fast,rt,alpha,1.51695673277788e-05
sub001,closed,absolute,vtpm V1,slow,rt,alpha,1.24319866482761e-05
sub001,closed,absolute,vtpm V2,correct,accuracy,alpha,1.59657686173113e-05
sub001,closed,absolute,vtpm V2,incorrect,accuracy,alpha,1.81382649576914e-05
sub001,closed,absolute,vtpm V2,correct_e,accuracy_e,alpha,1.38900197520315e-05
sub001,closed,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,1.81382649576914e-05
sub001,closed,absolute,vtpm V2,fast,rt,alpha,1.47708735582937e-05
sub001,closed,absolute,vtpm V2,slow,rt,alpha,1.62437605513802e-05
sub001,closed,absolute,vtpm V3,correct,accuracy,alpha,3.45923024314494e-05
sub001,closed,absolute,vtpm V3,incorrect,accuracy,alpha,3.95148371723722e-05
sub001,closed,absolute,vtpm V3,correct_e,accuracy_e,alpha,3.60270397211887e-05
sub001,closed,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,3.95148371723722e-05
sub001,closed,absolute,vtpm V3,fast,rt,alpha,3.73758011435058e-05
sub001,closed,absolute,vtpm V3,slow,rt,alpha,3.11925235713013e-05
sub002,open,visual power,vtpm V1,correct,accuracy,alpha,-0.102034064178279
sub002,open,visual power,vtpm V1,incorrect,accuracy,alpha,0.0316144097291596
sub002,open,visual power,vtpm V1,correct_e,accuracy_e,alpha,0.135169817770695
sub002,open,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,0.0316144097291596
sub002,open,visual power,vtpm V1,fast,rt,alpha,-0.0872045844184976
sub002,open,visual power,vtpm V1,slow,rt,alpha,-0.131165594746706
sub002,open,visual power,vtpm V2,correct,accuracy,alpha,-0.116000069571532
sub002,open,visual power,vtpm V2,incorrect,accuracy,alpha,-0.0797635362085971
sub002,open,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.0788631200912407
sub002,open,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,-0.0797635362085971
sub002,open,visual power,vtpm V2,fast,rt,alpha,-0.112040670951705
sub002,open,visual power,vtpm V2,slow,rt,alpha,-0.146976491151457
sub002,open,visual power,vtpm V3,correct,accuracy,alpha,-0.103186542626698
sub002,open,visual power,vtpm V3,incorrect,accuracy,alpha,0.0979912145594973
sub002,open,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.200643395086108
sub002,open,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,0.0979912145594973
sub002,open,visual power,vtpm V3,fast,rt,alpha,0.0076864969240035
sub002,open,visual power,vtpm V3,slow,rt,alpha,-0.189108276943767
sub002,open,somato lateralisation index,max,correct,accuracy,alpha,0.0539344242011482
sub002,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.0549630025867611
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.20784559128784
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0549630025867611
sub002,open,somato lateralisation index,max,fast,rt,alpha,0.0580672764650187
sub002,open,somato lateralisation index,max,slow,rt,alpha,0.0666371742565805
sub002,open,absolute,vtpm V1,correct,accuracy,alpha,2.14162038618172e-06
sub002,open,absolute,vtpm V1,incorrect,accuracy,alpha,2.64997785289753e-06
sub002,open,absolute,vtpm V1,correct_e,accuracy_e,alpha,2.35112342159989e-06
sub002,open,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,2.64997785289753e-06
sub002,open,absolute,vtpm V1,fast,rt,alpha,2.15633352909731e-06
sub002,open,absolute,vtpm V1,slow,rt,alpha,2.10589664872549e-06
sub002,open,absolute,vtpm V2,correct,accuracy,alpha,1.59089359563354e-06
sub002,open,absolute,vtpm V2,incorrect,accuracy,alpha,1.7202149477805e-06
sub002,open,absolute,vtpm V2,correct_e,accuracy_e,alpha,1.78214152500367e-06
sub002,open,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,1.7202149477805e-06
sub002,open,absolute,vtpm V2,fast,rt,alpha,1.5346447933362e-06
sub002,open,absolute,vtpm V2,slow,rt,alpha,1.57334165617656e-06
sub002,open,absolute,vtpm V3,correct,accuracy,alpha,1.34448770142772e-06
sub002,open,absolute,vtpm V3,incorrect,accuracy,alpha,1.73278331044186e-06
sub002,open,absolute,vtpm V3,correct_e,accuracy_e,alpha,1.4917299179342e-06
sub002,open,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,1.73278331044186e-06
sub002,open,absolute,vtpm V3,fast,rt,alpha,1.40693350060613e-06
sub002,open,absolute,vtpm V3,slow,rt,alpha,1.24844299485469e-06
sub002,closed,visual power,vtpm V1,correct,accuracy,alpha,0.336273086043654
sub002,closed,visual power,vtpm V1,incorrect,accuracy,alpha,0.396050724515499
sub002,closed,visual power,vtpm V1,correct_e,accuracy_e,alpha,0.272811182924871
sub002,closed,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,0.396050724515499
