sub,eyes,measure,roi,cond,compare,value
sub003,open,absolute,v1,incorrect,accuracy,3.50165010020754
sub003,open,absolute,v1,correct_e,accuracy_e,3.45369172877969
sub003,open,absolute,v1,incorrect_e,accuracy_e,3.50165010020754
sub003,open,absolute,v1,fast,rt,3.52875572567943
sub003,open,absolute,v1,slow,rt,3.39288255610498
sub003,closed,visual power,v1,correct,accuracy,-0.044231584934933
sub003,closed,visual power,v1,incorrect,accuracy,-0.067544727925605
sub003,closed,visual power,v1,correct_e,accuracy_e,-0.124548659413881
sub003,closed,visual power,v1,incorrect_e,accuracy_e,-0.067544727925605
sub003,closed,visual power,v1,fast,rt,-0.138375428325112
sub003,closed,visual power,v1,slow,rt,0.0837640711062605
sub003,closed,somato lateralisation index,max,correct,accuracy,0.0352681867723253
sub003,closed,somato lateralisation index,max,incorrect,accuracy,0.162634983939513
sub003,closed,somato lateralisation index,max,correct_e,accuracy_e,0.12644835628129
sub003,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.162634983939513
sub003,closed,somato lateralisation index,max,fast,rt,-0.0753890219431383
sub003,closed,somato lateralisation index,max,slow,rt,0.15171429593865
sub003,closed,absolute,v1,correct,accuracy,4.31689702251474
sub003,closed,absolute,v1,incorrect,accuracy,4.21370895871432
sub003,closed,absolute,v1,correct_e,accuracy_e,4.21277012907593
sub003,closed,absolute,v1,incorrect_e,accuracy_e,4.21370895871432
sub003,closed,absolute,v1,fast,rt,4.397258685273
sub003,closed,absolute,v1,slow,rt,4.25032502447722
sub004,open,visual power,v1,correct,accuracy,0.164705292156715
sub004,open,visual power,v1,incorrect,accuracy,0.308141078895465
sub004,open,visual power,v1,correct_e,accuracy_e,0.321846229590261
sub004,open,visual power,v1,incorrect_e,accuracy_e,0.308141078895465
sub004,open,visual power,v1,fast,rt,0.230281257093616
sub004,open,visual power,v1,slow,rt,0.0857577171978728
sub004,open,somato lateralisation index,max,correct,accuracy,0.173750778583038
sub004,open,somato lateralisation index,max,incorrect,accuracy,0.158517208359037
sub004,open,somato lateralisation index,max,correct_e,accuracy_e,0.15884015021864
sub004,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.158517208359037
sub004,open,somato lateralisation index,max,fast,rt,0.335529460300025
sub004,open,somato lateralisation index,max,slow,rt,0.0333774454381815
sub004,open,absolute,v1,correct,accuracy,3.40599231223788
sub004,open,absolute,v1,incorrect,accuracy,3.5277517988091
sub004,open,absolute,v1,correct_e,accuracy_e,3.50430895539538
sub004,open,absolute,v1,incorrect_e,accuracy_e,3.5277517988091
sub004,open,absolute,v1,fast,rt,3.50903830666467
sub004,open,absolute,v1,slow,rt,3.28281519824516
