sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.246804690091637
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.278830736745912
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.400119028956458
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.278830736745912
sub001,open,visual power,Brodmann area 17,fast,rt,alpha,0.190114561630658
sub001,open,visual power,Brodmann area 17,slow,rt,alpha,0.302693973578407
sub001,open,visual power,Brodmann area 18,correct,accuracy,alpha,0.202133746148487
sub001,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.0226055421065712
sub001,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.032668069683686
sub001,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.0226055421065712
sub001,open,visual power,Brodmann area 18,fast,rt,alpha,0.128709872302662
sub001,open,visual power,Brodmann area 18,slow,rt,alpha,0.280180948948326
sub001,open,visual power,Brodmann area 19,correct,accuracy,alpha,0.120385514010777
sub001,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.0855471867028203
sub001,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,-0.185788594409812
sub001,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.0855471867028203
sub001,open,visual power,Brodmann area 19,fast,rt,alpha,0.0719200988077209
sub001,open,visual power,Brodmann area 19,slow,rt,alpha,0.198485309486889
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.122841310201826
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.209590499638808
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.129520709621392
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.147355151434286
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.132251163285509
sub001,open,absolute,Brodmann area 17,correct,accuracy,alpha,2.49913273895371e-05
sub001,open,absolute,Brodmann area 17,incorrect,accuracy,alpha,2.15731310685379e-05
sub001,open,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,2.59130037806012e-05
sub001,open,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,2.15731310685379e-05
sub001,open,absolute,Brodmann area 17,fast,rt,alpha,2.39199276387206e-05
sub001,open,absolute,Brodmann area 17,slow,rt,alpha,2.56628508515872e-05
sub001,open,absolute,Brodmann area 18,correct,accuracy,alpha,1.90700761504587e-05
sub001,open,absolute,Brodmann area 18,incorrect,accuracy,alpha,1.37720834876548e-05
sub001,open,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,1.78337065878601e-05
sub001,open,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,1.37720834876548e-05
sub001,open,absolute,Brodmann area 18,fast,rt,alpha,1.78792762637827e-05
sub001,open,absolute,Brodmann area 18,slow,rt,alpha,1.99787169323538e-05
sub001,open,absolute,Brodmann area 19,correct,accuracy,alpha,7.21368356822703e-06
