sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,Brodmann,correct,accuracy,alpha,0.22616708999564
sub001,open,visual power,Brodmann,incorrect,accuracy,alpha,0.164704343220741
sub001,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.102914527564704
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.164704343220741
sub001,open,visual power,Brodmann,fast,rt,alpha,0.219950986087433
sub001,open,visual power,Brodmann,slow,rt,alpha,0.361307852213917
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.120076612130542
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.090473056951843
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.564188968707434
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.090473056951843
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.100240082790779
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.161446574172038
sub001,open,absolute,Brodmann,correct,accuracy,alpha,1.68431040825823e-05
sub001,open,absolute,Brodmann,incorrect,accuracy,alpha,1.40096361125689e-05
sub001,open,absolute,Brodmann,correct_e,accuracy_e,alpha,1.63162941328431e-05
sub001,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,1.40096361125689e-05
sub001,open,absolute,Brodmann,fast,rt,alpha,1.57098642620346e-05
sub001,open,absolute,Brodmann,slow,rt,alpha,1.79771264857308e-05
sub001,closed,visual power,Brodmann,correct,accuracy,alpha,-0.0433896047190905
sub001,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.15912995227088
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.103173862171274
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.15912995227088
sub001,closed,visual power,Brodmann,fast,rt,alpha,-0.0754263018806641
sub001,closed,visual power,Brodmann,slow,rt,alpha,-0.0809924885735065
sub001,closed,somato lateralisation index,max,correct,accuracy,alpha,0.117806249429905
sub001,closed,somato lateralisation index,max,incorrect,accuracy,alpha,-0.04364096183357
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.0856171569989101
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.04364096183357
sub001,closed,somato lateralisation index,max,fast,rt,alpha,0.0591884151316558
sub001,closed,somato lateralisation index,max,slow,rt,alpha,0.128839358392579
sub001,closed,absolute,Brodmann,correct,accuracy,alpha,2.89132154045472e-05
sub001,closed,absolute,Brodmann,incorrect,accuracy,alpha,3.0881093227291e-05
sub001,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,3.15025335419255e-05
sub001,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,3.0881093227291e-05
sub001,closed,absolute,Brodmann,fast,rt,alpha,2.84865710369538e-05
sub001,closed,absolute,Brodmann,slow,rt,alpha,2.85429347444079e-05
sub002,open,visual power,Brodmann,correct,accuracy,alpha,-0.0604424193426603
sub002,open,visual power,Brodmann,incorrect,accuracy,alpha,-0.0355555446789888
sub002,open,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.204415316923299
sub002,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,-0.0355555446789888
sub002,open,visual power,Brodmann,fast,rt,alpha,0.041801168925818
sub002,open,visual power,Brodmann,slow,rt,alpha,-0.159837538266706
sub002,open,somato lateralisation index,max,correct,accuracy,alpha,0.0539344242011481
sub002,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.0549630025867609
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.0189366883015877
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0549630025867609
sub002,open,somato lateralisation index,max,fast,rt,alpha,0.0580672764650188
sub002,open,somato lateralisation index,max,slow,rt,alpha,0.0666371742565805
sub002,open,absolute,Brodmann,correct,accuracy,alpha,3.32905961051024e-06
sub002,open,absolute,Brodmann,incorrect,accuracy,alpha,4.27213739890453e-06
sub002,open,absolute,Brodmann,correct_e,accuracy_e,alpha,2.60873840112369e-06
sub002,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,4.27213739890453e-06
sub002,open,absolute,Brodmann,fast,rt,alpha,3.44387063962879e-06
sub002,open,absolute,Brodmann,slow,rt,alpha,3.20462665003333e-06
sub002,closed,visual power,Brodmann,correct,accuracy,alpha,0.141364094121103
sub002,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.330498103071209
sub002,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,0.118896215569627
sub002,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.330498103071209
sub002,closed,visual power,Brodmann,fast,rt,alpha,0.163954302123884
sub002,closed,visual power,Brodmann,slow,rt,alpha,0.142577790267161
sub002,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0404768353003236
sub002,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.0620605213002067
sub002,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0568987177602744
sub002,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0620605213002067
sub002,closed,somato lateralisation index,max,fast,rt,alpha,0.102089749798864
sub002,closed,somato lateralisation index,max,slow,rt,alpha,0.0108113875842168
sub002,closed,absolute,Brodmann,correct,accuracy,alpha,1.33442413471167e-05
sub002,closed,absolute,Brodmann,incorrect,accuracy,alpha,1.39510410264969e-05
sub002,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,1.35999494341104e-05
sub002,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,1.39510410264969e-05
sub002,closed,absolute,Brodmann,fast,rt,alpha,1.24790942465643e-05
sub002,closed,absolute,Brodmann,slow,rt,alpha,1.43876460466083e-05
sub003,open,visual power,Brodmann,correct,accuracy,alpha,0.154716088662844
sub003,open,visual power,Brodmann,incorrect,accuracy,alpha,0.309782525198898
sub003,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.0631641844219785
sub003,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.309782525198898
sub003,open,visual power,Brodmann,fast,rt,alpha,0.251212233308198
sub003,open,visual power,Brodmann,slow,rt,alpha,0.0487875721758062
sub003,open,somato lateralisation index,max,correct,accuracy,alpha,0.141865525461847
sub003,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.0521947947858897
sub003,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.152414843448965
sub003,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.0521947947858897
sub003,open,somato lateralisation index,max,fast,rt,alpha,0.0984931924300619
sub003,open,somato lateralisation index,max,slow,rt,alpha,0.177787484658433
sub003,open,absolute,Brodmann,correct,accuracy,alpha,4.7355325146395e-06
sub003,open,absolute,Brodmann,incorrect,accuracy,alpha,4.87690323208869e-06
sub003,open,absolute,Brodmann,correct_e,accuracy_e,alpha,4.39023731481792e-06
sub003,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,4.87690323208869e-06
sub003,open,absolute,Brodmann,fast,rt,alpha,4.97806917001998e-06
sub003,open,absolute,Brodmann,slow,rt,alpha,4.39231948415636e-06
sub003,closed,visual power,Brodmann,correct,accuracy,alpha,0.0125779594626806
sub003,closed,visual power,Brodmann,incorrect,accuracy,alpha,-0.073760998300956
sub003,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,-0.111346595596845
sub003,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,-0.073760998300956
sub003,closed,visual power,Brodmann,fast,rt,alpha,0.00723388588661799
sub003,closed,visual power,Brodmann,slow,rt,alpha,0.00880499192594231
sub003,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0435389347935473
sub003,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.168125903703046
sub003,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0392269552279946
sub003,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.168125903703046
sub003,closed,somato lateralisation index,max,fast,rt,alpha,-0.0656813359381099
sub003,closed,somato lateralisation index,max,slow,rt,alpha,0.140156943959296
sub003,closed,absolute,Brodmann,correct,accuracy,alpha,9.55293769094437e-06
sub003,closed,absolute,Brodmann,incorrect,accuracy,alpha,9.76288358264192e-06
sub003,closed,absolute,Brodmann,correct_e,accuracy_e,alpha,8.75066930393465e-06
sub003,closed,absolute,Brodmann,incorrect_e,accuracy_e,alpha,9.76288358264192e-06
sub003,closed,absolute,Brodmann,fast,rt,alpha,9.9051415898024e-06
sub003,closed,absolute,Brodmann,slow,rt,alpha,9.21702013954005e-06
sub004,open,visual power,Brodmann,correct,accuracy,alpha,0.282755057774241
sub004,open,visual power,Brodmann,incorrect,accuracy,alpha,0.124929874650853
sub004,open,visual power,Brodmann,correct_e,accuracy_e,alpha,0.278239807423217
sub004,open,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.124929874650853
sub004,open,visual power,Brodmann,fast,rt,alpha,0.319686745466458
sub004,open,visual power,Brodmann,slow,rt,alpha,0.311435759846188
sub004,open,somato lateralisation index,max,correct,accuracy,alpha,0.143189930969235
sub004,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.182520551368416
sub004,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0855105342040215
sub004,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.182520551368416
sub004,open,somato lateralisation index,max,fast,rt,alpha,0.331338585289031
sub004,open,somato lateralisation index,max,slow,rt,alpha,-0.0155921426227835
sub004,open,absolute,Brodmann,correct,accuracy,alpha,4.00333715757684e-06
sub004,open,absolute,Brodmann,incorrect,accuracy,alpha,3.51636328053842e-06
sub004,open,absolute,Brodmann,correct_e,accuracy_e,alpha,4.35307151482974e-06
sub004,open,absolute,Brodmann,incorrect_e,accuracy_e,alpha,3.51636328053842e-06
sub004,open,absolute,Brodmann,fast,rt,alpha,4.18198564388215e-06
sub004,open,absolute,Brodmann,slow,rt,alpha,3.98002211083322e-06
sub004,closed,visual power,Brodmann,correct,accuracy,alpha,0.277427696672435
sub004,closed,visual power,Brodmann,incorrect,accuracy,alpha,0.14675708274406
sub004,closed,visual power,Brodmann,correct_e,accuracy_e,alpha,0.601992871394141
sub004,closed,visual power,Brodmann,incorrect_e,accuracy_e,alpha,0.14675708274406
sub004,closed,visual power,Brodmann,fast,rt,alpha,0.213967963532504
sub004,closed,visual power,Brodmann,slow,rt,alpha,0.372436103476473
sub004,closed,somato lateralisation index,max,correct,accuracy,alpha,0.114918406548811
sub004,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.280458909815364
sub004,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0831026178624345
