sub,eyes,measure,roi,cond,compare,band,value
sub001,open,visual power,vtpm V1,correct,accuracy,alpha,0.272436548209557
sub001,open,visual power,vtpm V1,incorrect,accuracy,alpha,-0.322482008975847
sub001,open,visual power,vtpm V1,correct_e,accuracy_e,alpha,0.455077950743089
sub001,open,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,-0.322482008975847
sub001,open,visual power,vtpm V1,fast,rt,alpha,0.107677841690964
sub001,open,visual power,vtpm V1,slow,rt,alpha,0.373193144007138
sub001,open,visual power,vtpm V2,correct,accuracy,alpha,0.0305794326342148
sub001,open,visual power,vtpm V2,incorrect,accuracy,alpha,-0.0945034331877907
sub001,open,visual power,vtpm V2,correct_e,accuracy_e,alpha,0.39387732468015
sub001,open,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,-0.0945034331877907
sub001,open,visual power,vtpm V2,fast,rt,alpha,-0.0773764395221659
sub001,open,visual power,vtpm V2,slow,rt,alpha,0.127669428950335
sub001,open,visual power,vtpm V3,correct,accuracy,alpha,0.136617647060069
sub001,open,visual power,vtpm V3,incorrect,accuracy,alpha,0.714385614986963
sub001,open,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.431127903243275
sub001,open,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,0.714385614986963
sub001,open,visual power,vtpm V3,fast,rt,alpha,0.0290398457886191
sub001,open,visual power,vtpm V3,slow,rt,alpha,0.173064444951892
sub001,open,somato lateralisation index,max,correct,accuracy,alpha,0.0972696832487051
sub001,open,somato lateralisation index,max,incorrect,accuracy,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.173915573665585
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,-0.199961259893753
sub001,open,somato lateralisation index,max,fast,rt,alpha,0.141756046776195
sub001,open,somato lateralisation index,max,slow,rt,alpha,0.100721729335241
sub001,open,absolute,vtpm V1,correct,accuracy,alpha,6.32336641226514e-06
sub001,open,absolute,vtpm V1,incorrect,accuracy,alpha,3.52979368038576e-06
sub001,open,absolute,vtpm V1,correct_e,accuracy_e,alpha,7.25983060865731e-06
sub001,open,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,3.52979368038576e-06
sub001,open,absolute,vtpm V1,fast,rt,alpha,5.8175303113657e-06
sub001,open,absolute,vtpm V1,slow,rt,alpha,6.62366687681951e-06
sub001,open,absolute,vtpm V2,correct,accuracy,alpha,7.00126384503192e-06
sub001,open,absolute,vtpm V2,incorrect,accuracy,alpha,5.37325955416731e-06
sub001,open,absolute,vtpm V2,correct_e,accuracy_e,alpha,8.55432075912265e-06
sub001,open,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,5.37325955416731e-06
sub001,open,absolute,vtpm V2,fast,rt,alpha,6.33278424038413e-06
sub001,open,absolute,vtpm V2,slow,rt,alpha,7.76788108485445e-06
sub001,open,absolute,vtpm V3,correct,accuracy,alpha,2.05482741064087e-05
sub001,open,absolute,vtpm V3,incorrect,accuracy,alpha,2.1814324872856e-05
sub001,open,absolute,vtpm V3,correct_e,accuracy_e,alpha,2.27194389186291e-05
sub001,open,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,2.1814324872856e-05
sub001,open,absolute,vtpm V3,fast,rt,alpha,1.87574244478232e-05
sub001,open,absolute,vtpm V3,slow,rt,alpha,2.08746181329184e-05
sub001,closed,visual power,vtpm V1,correct,accuracy,alpha,-0.121411026426689
sub001,closed,visual power,vtpm V1,incorrect,accuracy,alpha,-0.277994942957914
sub001,closed,visual power,vtpm V1,correct_e,accuracy_e,alpha,-0.0323598437896315
sub001,closed,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,-0.277994942957914
sub001,closed,visual power,vtpm V1,fast,rt,alpha,-0.0724995017935783
sub001,closed,visual power,vtpm V1,slow,rt,alpha,-0.216249246299326
sub001,closed,visual power,vtpm V2,correct,accuracy,alpha,-0.108571946792022
sub001,closed,visual power,vtpm V2,incorrect,accuracy,alpha,0.0535664112280608
sub001,closed,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.175315618444728
sub001,closed,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,0.0535664112280608
sub001,closed,visual power,vtpm V2,fast,rt,alpha,-0.0252613991745878
sub001,closed,visual power,vtpm V2,slow,rt,alpha,-0.180363396089433
sub001,closed,visual power,vtpm V3,correct,accuracy,alpha,-0.072363254530359
sub001,closed,visual power,vtpm V3,incorrect,accuracy,alpha,-0.445726201902274
sub001,closed,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.120378702406345
sub001,closed,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,-0.445726201902274
sub001,closed,visual power,vtpm V3,fast,rt,alpha,-0.091809254581161
